epoch,train_loss,val_loss
1,18.402586207670325,32.754703521728516
2,15.563281227560605,29.549299240112305
3,12.783641142003676,26.603073120117188
4,10.350039257722742,23.909337997436523
5,8.301697787116556,21.890405654907227
6,6.735072865205653,20.246721267700195
7,5.52947156569537,19.107269287109375
8,4.60661927391501,18.004972457885742
9,3.874647154527552,16.75177574157715
10,3.2720934362972485,15.537503242492676
11,2.7908863881055046,14.181384086608887
12,2.356282395475051,13.000141143798828
13,1.9902784123140222,11.954681396484375
14,1.6906639828401453,10.71399974822998
15,1.4160746861906612,9.743647575378418
16,1.2234396846855389,8.868281364440918
17,1.0397847119499655,8.213214874267578
18,0.9152441936380723,7.607610702514648
19,0.7897545686539482,6.930430889129639
20,0.6762495286324445,6.41890287399292
21,0.5878181404927197,6.02410364151001
22,0.5171379666118061,5.662613391876221
23,0.4558029946158914,5.31920051574707
24,0.4088246410383898,4.9895501136779785
25,0.3623587151660639,4.704177379608154
26,0.3222097684355343,4.437589168548584
27,0.29317569710752545,4.206235885620117
28,0.26159942851347084,3.9834611415863037
29,0.235589037046713,3.763216257095337
30,0.2104577974361532,3.553762674331665
31,0.18818940879667506,3.3790009021759033
32,0.17010073999271674,3.2351226806640625
33,0.15499128477976604,3.0865821838378906
34,0.1426672751412672,2.9545555114746094
35,0.13028955284286947,2.82861590385437
36,0.12311454117298126,2.6726348400115967
37,0.11168687571497525,2.5579044818878174
38,0.1074956596335944,2.4569318294525146
39,0.0960121181081323,2.372476100921631
40,0.08626133510295082,2.2641472816467285
41,0.07915708543184925,2.1950228214263916
42,0.07269353014143075,2.1193301677703857
43,0.06686814655275906,2.0453481674194336
44,0.062472234534866666,1.9841562509536743
45,0.05718606589909862,1.9304436445236206
46,0.054526766871704775,1.8727006912231445
47,0.04939186879817177,1.8192253112792969
48,0.048594704883940076,1.746855616569519
49,0.043917446013759166,1.6795114278793335
50,0.0405429666314055,1.629463791847229
